"","ParcelNo","SaleDate","SalePrice","TaxStatus","IsImproved","PermitIssued","BlightStatus","BlightNeighborCount","CrimeCount","BlightCount","Call311Count"
"78","21034949.","12/08/2011",600,"CITY LAND BANK","1",2016-04-05,"Blighted",0.612185686653772,0.382363702890596,0.330299089726918,0.213938411669368
"79","21035051.","01/01/1986",5000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.552224371373308,0.341017197219173,0.282834850455137,0.171799027552674
"80","21070203.","11/01/1977",19500,"CITY LAND BANK","1",2016-04-05,"Blighted",0.59284332688588,0.17178924259056,0.387516254876463,0.275526742301459
"81","21070512.","01/20/2010",25000,"CITY LAND BANK","1",2016-04-05,"Blighted",0.620889748549323,0.180204903036956,0.405721716514954,0.277147487844408
"82","21080669.","07/29/2014",0,"CITY LAND BANK","1",2016-04-05,"Blighted",0.869439071566731,0.246798390047567,0.463589076723017,0.33387358184765
"83","17014399.001","03/28/2003",69900,"COUNTY OWNED","1",2016-04-05,"Blighted",0.528046421663443,0.372484449323088,0.288686605981795,0.168557536466775
"84","21004928.","",0,"COUNTY OWNED","1",2016-04-05,"Blighted",0.759187620889749,0.217343578485181,0.44668400520156,0.33387358184765
"85","21019350.","01/13/2009",25000,"COUNTY OWNED","1",2016-04-05,"Blighted",0.734042553191489,0.216062934504208,0.407672301690507,0.257698541329011
"86","21064695.","02/15/2015",10100,"TAXABLE","1",2016-04-05,"Blighted",0.735009671179884,0.213135748261983,0.440182054616385,0.329011345218801
"87","21024572.","10/01/2005",50000,"COUNTY OWNED","1",2016-04-05,"Blighted",0.458413926499033,0.164654226125137,0.312743823146944,0.192868719611021
"88","21035036.","03/13/2008",62000,"COUNTY OWNED","1",2016-04-05,"Blighted",0.645067698259188,0.376509330406147,0.310143042912874,0.19773095623987
"89","21035219.","12/06/2011",301,"COUNTY OWNED","1",2016-04-05,"Blighted",0.505802707930368,0.325832418587633,0.267880364109233,0.160453808752026
"90","21012218.","",0,"CITY LAND BANK","1",2016-04-07,"Blighted",0.627659574468085,0.36827661909989,0.411573472041612,0.278768233387358
"91","15009713.","09/05/2003",57000,"CITY LAND BANK","1",2015-06-03,"Blighted",0.736943907156673,0.454628613245518,0.229518855656697,0.306320907617504
"92","22075391.","06/28/2005",20000,"CITY LAND BANK","1",2016-04-07,"Blighted",0.253384912959381,0.341200146359312,0.316644993498049,0.239870340356564
"93","21016466.","12/08/2006",75000,"CITY LAND BANK","1",2016-04-07,"Blighted",0.983558994197292,0.301683132089279,0.423927178153446,0.26904376012966
"94","22010196-7","03/22/2005",81000,"CITY LAND BANK","1",2016-04-07,"Blighted",0.499032882011605,0.221551408708379,0.180104031209363,0.236628849270664
"95","21016756.","11/01/1984",6000,"CITY LAND BANK","1",2016-04-07,"Blighted",0.981624758220503,0.298390047566776,0.421976592977893,0.26742301458671
"96","16042287.","09/19/2008",38302,"CITY LAND BANK","1",2016-04-07,"Blighted",0.0812379110251451,0.44456641053787,0.371261378413524,0.244732576985413
"97","22086910.","11/26/2004",100884,"CITY LAND BANK","1",2016-04-07,"Blighted",0.549323017408124,0.343395536040981,0.230169050715215,0.26418152350081
"98","16004323.","",0,"CITY LAND BANK","1",2016-04-07,"Blighted",0.298839458413927,0.610135382363703,0.49739921976593,0.367909238249595
"99","16026706.","",0,"CITY LAND BANK","1",2016-04-07,"Blighted",0.382011605415861,0.607391145261617,0.611183355006502,0.39708265802269
"100","16028918.","10/06/2010",5000,"CITY LAND BANK","1",2016-04-07,"Blighted",0.332688588007737,0.588181485547018,0.647594278283485,0.413290113452188
"101","22029696.","05/18/2006",20000,"CITY LAND BANK","1",2016-04-07,"Blighted",0.402321083172147,0.525795828759605,0.460338101430429,0.33063209076175
"102","22029680.003L","",0,"CITY LAND BANK","1",2016-04-07,"Blighted",0.381044487427466,0.528357116721551,0.436931079323797,0.309562398703404
"103","21016648.","11/06/2007",5000,"CITY LAND BANK","1",2016-04-07,"Blighted",0.982591876208897,0.30150018294914,0.423276983094929,0.26742301458671
"104","21012220.","09/06/2007",65000,"CITY LAND BANK","1",2016-04-07,"Blighted",0.630560928433269,0.366995975118917,0.415474642392718,0.278768233387358
"105","14001628.","09/13/2005",5000,"CITY OWNED","0",2015-04-01,"Blighted",0.398452611218569,0.59348701061105,0.488946684005202,0.416531604538088
"106","21036308.","10/02/2008",6902,"CITY LAND BANK","1",2016-04-12,"Blighted",0.440038684719536,0.328942553969996,0.255526657997399,0.149108589951378
"107","20004404.","07/12/2012",500,"CITY LAND BANK","1",2016-04-07,"Blighted",0.579303675048356,0.401207464324918,0.244473342002601,0.20097244732577
"108","19003729.","02/01/1979",10839,"CITY LAND BANK","0",2014-05-22,"Blighted",0.471953578336557,0.402488108305891,0.323146944083225,0.246353322528363
"109","13002565.","07/22/2011",500,"COUNTY OWNED","1",2016-04-13,"Blighted",0.479690522243714,0.496523966337358,0.245123537061118,0.3322528363047
"110","13005182.","08/01/1999",6000,"CITY LAND BANK","1",2015-06-03,"Blighted",0.216634429400387,0.511708744968899,0.297139141742523,0.283630470016207
"111","13022854.","05/01/1987",8557,"TAXABLE","1",2016-04-12,"Blighted",0.188588007736944,0.411818514452982,0.197659297789337,0.19935170178282
"112","21018330.","02/29/2012",900,"CITY LAND BANK","1",2016-04-12,"Blighted",0.683752417794971,0.201609952433224,0.406371911573472,0.26418152350081
"113","21069064.","03/01/1996",30000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.555125725338491,0.158799853640688,0.334850455136541,0.257698541329011
"114","21071576.","01/30/2006",85000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.859767891682785,0.2403951701427,0.452535760728218,0.314424635332253
"115","21068034.","03/18/2010",37000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.627659574468085,0.183315038419319,0.407672301690507,0.275526742301459
"116","21022943.","02/05/2008",1000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.560928433268859,0.178558360775704,0.349804941482445,0.217179902755267
"117","21070529.","02/10/2010",2050,"CITY LAND BANK","1",2016-04-12,"Blighted",0.634429400386847,0.183315038419319,0.410273081924577,0.280388978930308
"118","21073653.","10/17/2006",83000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.467117988394584,0.159714599341383,0.361508452535761,0.244732576985413
"119","21064948.","11/18/2010",7000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.594777562862669,0.190450054884742,0.407672301690507,0.273905996758509
"120","21058019.","11/01/1997",60000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.567698259187621,0.189169410903769,0.397269180754226,0.257698541329011
"121","21048027.","05/18/2006",70000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.187620889748549,0.201061105012806,0.128088426527958,0.139384116693679
"122","21048033.","",0,"CITY LAND BANK","1",2016-04-12,"Blighted",0.182785299806576,0.199780461031833,0.1222366710013,0.13614262560778
"123","21055967.","12/10/2007",9000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.654738878143133,0.233260153677278,0.427828348504551,0.337115072933549
"124","21014543.","12/23/2004",40742,"CITY LAND BANK","1",2016-04-12,"Blighted",0.943907156673114,0.286132455177461,0.454486345903771,0.309562398703404
"125","21003131.","10/30/2001",38500,"CITY LAND BANK","1",2016-04-12,"Blighted",0.620889748549323,0.238931577021588,0.427828348504551,0.33063209076175
"126","21022667-8","04/14/2010",70582,"CITY LAND BANK","1",2016-04-12,"Blighted",0.544487427466151,0.176728869374314,0.351755526657997,0.212317666126418
"127","21056190.","05/21/2003",2200,"CITY LAND BANK","1",2016-04-12,"Blighted",0.282398452611219,0.168496158068057,0.198309492847854,0.162074554294976
"128","21078489.","09/01/1988",24000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.126692456479691,0.103366264178558,0.26592977893368,0.179902755267423
"129","21052451.","05/11/2009",1290,"CITY LAND BANK","1",2016-04-12,"Blighted",0.629593810444874,0.267471642883278,0.472691807542263,0.325769854132901
"130","21073743.","12/01/1998",109000,"COUNTY OWNED","1",2016-04-12,"Blighted",0.415860735009671,0.141053787047201,0.332249674902471,0.233387358184765
"131","21053994.","01/08/2009",5000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.682785299806576,0.257409440175631,0.474642392717815,0.33387358184765
"132","15011243.","07/25/2006",90100,"CITY LAND BANK","1",2016-04-12,"Blighted",0.186653771760155,0.35876326381266,0.217165149544863,0.181523500810373
"133","21069272.","11/03/2006",124780,"CITY LAND BANK","1",2016-04-12,"Blighted",0.764990328820116,0.215331137943652,0.450585175552666,0.314424635332253
